column_name,required,data_type,controlled_vocabulary,description,example,phase1_rule
n_cells,true,string; numeric strings use MOhm/um units where specified,,Summary sample size in cells when recoverable.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
n_animals,true,string; numeric strings use MOhm/um units where specified,,Summary sample size in animals when recoverable.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
measured_or_model,true,string; numeric strings use MOhm/um units where specified,measured_summary; model_summary; reported_summary; qualitative_context; metadata_only; excluded,"Whether the row is measured summary, model summary, context, metadata, or excluded.",,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
R_neck_MOhm,true,string; numeric strings use MOhm/um units where specified,,Spine-neck resistance in MOhm.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
R_neck_uncertainty_MOhm,true,string; numeric strings use MOhm/um units where specified,,R_neck uncertainty in MOhm.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
R_neck_uncertainty_type,true,string; numeric strings use MOhm/um units where specified,,"Uncertainty interpretation, such as reported_plus_minus.",,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
R_neck_statistic_type,true,string; numeric strings use MOhm/um units where specified,,Statistic type for R_neck.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
R_neck_method,true,string; numeric strings use MOhm/um units where specified,direct_electrical_inferred; voltage_attenuation_inferred; optical_electrophysiology_inferred; geometry_cylindrical_inferred; model_code_inferred; reported_summary; not_reported,Method category for R_neck.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
load_value_MOhm,true,string; numeric strings use MOhm/um units where specified,,Dendritic load/impedance value in MOhm.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
load_uncertainty_MOhm,true,string; numeric strings use MOhm/um units where specified,,Load uncertainty in MOhm.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
load_uncertainty_type,true,string; numeric strings use MOhm/um units where specified,,Uncertainty interpretation for load.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
load_statistic_type,true,string; numeric strings use MOhm/um units where specified,,Statistic type for load.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
load_method,true,string; numeric strings use MOhm/um units where specified,R_d_EPSC_native; dendritic_impedance_Zdendrite; dendritic_input_resistance_reported; model_Rdend_reported; imported_harnett; common_reference_SPINE_baseline; model_assumed; not_reported; not_applicable,Method category for the load quantity.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
load_definition,true,string; numeric strings use MOhm/um units where specified,Harnett_model_Rdend; Popovic_Zdendrite; source_reported_dendritic_load; imported_or_assumed_load; not_reported; not_applicable,Definition of the load quantity.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
load_assumed,true,string; numeric strings use MOhm/um units where specified,,true if the load is model/proxy/assumed rather than measured same-source.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
load_provenance,true,string; numeric strings use MOhm/um units where specified,measured_same_source; model_reported_same_source; reported_same_source_unclear_measured_or_model; imported_from_harnett; common_reference_assumed; not_reported; not_applicable,Where the load comes from.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
attenuation_or_AR,true,string; numeric strings use MOhm/um units where specified,,Attenuation/amplification value or short expression.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
attenuation_uncertainty,true,string; numeric strings use MOhm/um units where specified,,Attenuation/amplification uncertainty.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
attenuation_uncertainty_type,true,string; numeric strings use MOhm/um units where specified,,Uncertainty interpretation for attenuation/amplification.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
attenuation_definition,true,string; numeric strings use MOhm/um units where specified,spine_to_dendrite_amplitude_ratio; dendrite_to_spine_attenuation; amplification_ratio; voltage_gradient; qualitative_only; not_reported; not_applicable,Definition of attenuation/amplification quantity.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
attenuation_method,true,string; numeric strings use MOhm/um units where specified,,Method category for attenuation/amplification.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
neck_length_um,true,string; numeric strings use MOhm/um units where specified,,"Neck length in micrometers, if available.",,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
neck_radius_um,true,string; numeric strings use MOhm/um units where specified,,"Neck radius in micrometers, if available.",,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
neck_diameter_um,true,string; numeric strings use MOhm/um units where specified,,"Neck diameter in micrometers, if available.",,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
geometry_source,true,string; numeric strings use MOhm/um units where specified,,Source for geometry fields.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
usable_for_summary_route1,true,string; numeric strings use MOhm/um units where specified,,true only for summary/model rows usable in a later Route 1 overlay.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
usable_for_per_spine_route1,true,string; numeric strings use MOhm/um units where specified,,Always false in Phase 1.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
exclusion_reason,true,string; numeric strings use MOhm/um units where specified,,Reason a row is excluded or limited.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
recommended_plot_role,true,string; numeric strings use MOhm/um units where specified,high_isolation_summary_anchor; low_isolation_summary_anchor; model_fit_reference; context_not_plotted; excluded_not_plotted,Recommended later plotting role.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
recommended_marker_group,true,string; numeric strings use MOhm/um units where specified,Harnett_summary_model; Popovic_measured_summary; Popovic_model_fit; Kwon_excluded; Cornejo_contrast_only; Zecevic_context,Recommended later marker group.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
rho_L_source_native,true,string; numeric strings use MOhm/um units where specified,,Source-native R_neck/load feasibility ratio.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
Gamma_div_source_native,true,string; numeric strings use MOhm/um units where specified,,"1/(1+rho_L_source_native), feasibility-only.",,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
rho_L_class_source_native,true,string; numeric strings use MOhm/um units where specified,low_lt_0p25; intermediate_0p25_to_lt_0p75; high_gte_0p75; not_calculated,Threshold class for source-native rho_L.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
calculation_note,true,string; numeric strings use MOhm/um units where specified,,Calculation caveat; source-native feasibility only.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
