source,section_or_equation,symbol_or_claim,meaning,implementation_artifact,configuration_field,unit,validation_test,figure_or_protocol,discrepancy_or_note
manuscript,eq:tpeak,t_peak,double-exponential peak delay,spine.synapses.DoubleExponentialSynapse.peak_delay_s,synapse.tau_rise_ms and tau_decay_ms,s,tests/test_phase01_passive_core.py,synaptic waveform check,Implemented in Phase 01
manuscript,eq:eta,eta,peak normalization factor,spine.synapses.DoubleExponentialSynapse.eta,synapse fields,dimensionless,tests/test_phase01_passive_core.py,synaptic waveform check,Implemented in Phase 01
manuscript,metrics,A_h/A_d/A_s,peak depolarizations after t0,spine.metrics.compute_voltage_metrics,numerics/event fields,V,tests/test_phase01_passive_core.py,voltage traces and sweeps,Window T defined as 50 ms in Phase 01 without figure tuning
Phase 01 decision,metrics,T,post-stimulus metric window,spine.metrics.compute_voltage_metrics,numerics.metric_window_ms,s,tests/test_phase01_passive_core.py,all Phase 01 metrics,Defined as 50 ms without tuning to reproduce figures
Phase 01.1 decision,metrics,signed currents,synaptic and neck current metric sign conventions,spine.metrics.compute_voltage_metrics,derived,A and C,tests/test_phase01_passive_core.py,Phase 02 source-data interpretation,Inward excitatory synaptic current is negative; positive neck current is head-to-dendrite
Phase 01.1 decision,metrics,driving_force_reduction,absolute driving-force reduction during metric window,spine.metrics.compute_voltage_metrics,derived,V,tests/test_phase01_passive_core.py,Phase 02 source-data interpretation,Added to avoid overloading peak absolute driving force
Phase 01.1 decision,validation,time guardrails,positive dt/stop/window and time-domain Rin duration checks,spine.passive.PassiveParameters and spine.impedance.dendritic_input_resistance_time_domain_ohm,numerics fields,s,tests/test_phase01_passive_core.py,Phase 02 programmatic parameter construction,Duration must span at least 10 dendrite-soma load time constants
manuscript,eq:attenuation,Gamma_h_to_d and Gamma_h_to_s,attenuation ratios,spine.metrics.compute_voltage_metrics,derived,dimensionless,tests/test_phase01_passive_core.py,Figures 2-4,Descriptive output not assumed to be predicted by SMI alone
manuscript,eq:rin,R_in,d,small-signal dendritic input resistance with spine omitted,spine.impedance.dendritic_input_resistance_ohm,numerics.input_resistance_current_pA,ohm,tests/test_phase01_passive_core.py,SMI protocols,Implemented with separate two-node dendrite-soma circuit
manuscript,eq:smi,SMI,R_neck/R_in,d,spine.impedance.smi,derived,dimensionless,tests/test_phase01_passive_core.py,SMI heatmap and validation,Low-frequency descriptor only
manuscript,eq:divider,1/(1+SMI),voltage-divider intuition,docs/MODEL_SPECIFICATION.md and Phase 02-05 reports,derived,dimensionless,tests/test_phase02_reproduction_outputs.py,interpretive checks,Validated only as low-frequency intuition and not exact transient predictor
manuscript,Table 1,E_L,leak reversal potential,configs/manuscript_faithful/baseline.toml,reversal.leak_mV,mV,tests/test_config.py,all simulations,Preserved
manuscript,Table 1,E_syn,excitatory reversal potential,configs/manuscript_faithful/baseline.toml,reversal.excitatory_synapse_mV,mV,tests/test_config.py,all synaptic simulations,Preserved
manuscript,Table 1,c_m,specific membrane capacitance,configs/manuscript_faithful/baseline.toml,spine_head.specific_capacitance_pF_per_um2,pF/um2,tests/test_units.py,head capacitance,Equivalent to 0.01 F/m2
manuscript,Table 1,gbar_L,specific spine-head leak conductance,configs/manuscript_faithful/baseline.toml,spine_head.specific_leak_nS_per_um2,nS/um2,tests/test_units.py,head leak,Equivalent to 0.003 S/m2; plausible low passive leak
manuscript,Table 1,r_h,spine-head radius,configs/manuscript_faithful/baseline.toml,spine_head.radius_um,um,tests/test_units.py,head area,Preserved
manuscript,Table 1,C_d,dendritic capacitance,configs/manuscript_faithful/baseline.toml,dendrite.capacitance_pF,pF,tests/test_config.py,three-compartment model,Lumped value; not morphology-derived in baseline
manuscript,Table 1,C_s,somatic capacitance,configs/manuscript_faithful/baseline.toml,soma.capacitance_pF,pF,tests/test_config.py,three-compartment model,Lumped value
manuscript,Table 1,g_L,d,dendritic leak conductance,configs/manuscript_faithful/baseline.toml,dendrite.leak_conductance_nS,nS,tests/test_config.py,baseline and load validation,Load sweep changes this value
manuscript,Table 1,g_L,s,somatic leak conductance,configs/manuscript_faithful/baseline.toml,soma.leak_conductance_nS,nS,tests/test_config.py,three-compartment model,Preserved
manuscript,Table 1,g_DS,dendrite-soma coupling conductance,configs/manuscript_faithful/baseline.toml,coupling.dendrite_soma_conductance_nS,nS,tests/test_config.py,three-compartment model,Preserved
manuscript,Table 1,rho_i,intracellular resistivity,configs/manuscript_faithful/baseline.toml,coupling.intracellular_resistivity_ohm_cm,ohm cm,tests/test_units.py,neck resistance,Preserved; literature range uncertainty noted
manuscript,Table 1,g_max,peak synaptic conductance,configs/manuscript_faithful/baseline.toml,synapse.g_max_nS,nS,tests/test_config.py,synaptic traces,Potentially large relative to tiny head leak; preserved
manuscript,Table 1,tau_r/tau_d,synaptic rise and decay constants,configs/manuscript_faithful/baseline.toml,synapse.tau_rise_ms and tau_decay_ms,ms,tests/test_config.py,synaptic traces,AMPA-like kinetics
manuscript,Table 1,t0,event time,configs/manuscript_faithful/baseline.toml,synapse.event_time_ms,ms,tests/test_config.py,synaptic traces,Preserved
manuscript,Table 1,dt,implicit Euler time step,configs/manuscript_faithful/baseline.toml,numerics.time_step_ms,ms,tests/test_config.py,Phase 01 solver tests,Preserved
manuscript,Table 1,Delta I_d,current for R_in measurement,configs/manuscript_faithful/baseline.toml,numerics.input_resistance_current_pA,pA,tests/test_units.py,input resistance protocol,Preserved
manuscript,Figure 1,architecture,spine head-neck-dendrite-soma model,scripts/reproduce_manuscript.py and figures/phase02/Figure1_architecture.svg,all baseline fields,mixed,tests/test_phase02_reproduction_outputs.py,architecture schematic,Scripted schematic of implemented architecture
manuscript,Figure 2,low/intermediate/high SMI traces,scripts/reproduce_manuscript.py and results/phase02/Figure2_representative_summary.csv,configs plus selected geometries,mixed,tests/test_phase02_reproduction_outputs.py,trace reproduction,Caption values reproduced exactly under predefined tolerance
manuscript,Figure 3,fixed-load geometry sweep,scripts/reproduce_manuscript.py and results/phase02/Figure3_geometry_sweep.csv,sweeps.neck_length and sweeps.neck_radius,mixed,tests/test_phase02_reproduction_outputs.py,geometry sweep,Fixed-load SMI equals scaled R_neck
manuscript,Figure 4,matched-neck heterogeneous-load validation,scripts/reproduce_manuscript.py and results/phase02/Figure4_matched_neck_heterogeneous_load.csv,validation.matched_neck fields,mixed,tests/test_phase02_reproduction_outputs.py,load validation,Shows narrow load-normalization case with fixed R_neck
Phase 03,passive morphology,generalized compartment trees,arbitrary passive tree and branch architecture,spine.morphology and spine.network,procedural morphology arguments,mixed,tests/test_phase03_morphology_impedance.py,results/phase03/smi_challenge_suite.csv,Extends beyond manuscript without changing manuscript_faithful baseline
Phase 03,impedance framework,Zin and Ztransfer,local and transfer impedance with gain phase and spectra,spine.impedance,frequency_hz,ohm and dimensionless,tests/test_phase03_morphology_impedance.py,results/phase03/impedance_spectrum.csv,Sinusoidal and chirp validations passed
Phase 03,SMI challenge suite,SMI limits,iso-SMI iso-neck iso-transfer location and load counterexamples,spine.phase03,phase03 protocol constants,mixed,tests/test_phase03_morphology_impedance.py,reports/PHASE03_SMI_CHALLENGE_REPORT.md,Negative findings preserved
Phase 04,active extension,AMPA NMDA and active conductances,opt-in active nonlinear mechanisms,spine.synapses spine.channels spine.active spine.phase04,configs/active_extension/baseline.toml,mixed,tests/test_phase04_active_nonlinear.py,results/phase04/active_validation.csv,Disabled in manuscript_faithful configuration
Phase 04,active SMI challenge,active local transfer and counterexamples,selected active challenge suite,spine.phase04,active-extension settings,mixed,tests/test_phase04_active_nonlinear.py,reports/PHASE04_ACTIVE_SMI_REPORT.md,Active mechanisms preserve local SMI utility but strengthen limitations
Phase 05,uncertainty and identifiability,parameter sensitivity and uncertainty,deterministic uncertainty ensemble and predictor audits,spine.phase05,phase05 predefined distributions,mixed,tests/test_phase05_sensitivity_statistics.py,results/phase05/phase05_validation.csv,Original 48-vs-96 SMI convergence failure preserved
Phase 05.1,convergence audit,progressive uncertainty convergence,N=96 to 768 robustness audit,spine.phase05_1,phase05 predefined distributions,mixed,tests/test_phase05_1_convergence_audit.py,results/phase05_1/phase05_1_validation.csv,SMI medians converge by N=768 while exact ranking stability fails
Phase 06,epilepsy exploratory module,evidence-graded perturbation scenarios,separated hypothesis-generation module,spine.phase06,configs/epilepsy_exploratory,mixed,tests/test_phase06_epilepsy_exploratory.py,results/phase06/phase06_validation.csv,Exploratory only with no clinical diagnostic prognostic or therapeutic claims
